model,varset,candidate_id,seq_length,units,dropout,learning_rate,epochs,batch_size,early_stopping_monitor,early_stopping_patience,seed_base,fold1_train_sequences,fold1_val_sequences,fold1_rmse,fold1_epochs,fold2_train_sequences,fold2_val_sequences,fold2_rmse,fold2_epochs,fold3_train_sequences,fold3_val_sequences,fold3_rmse,fold3_epochs,mean_validation_rmse,std_validation_rmse,mean_trained_epochs
LSTM,parsimonious,39,12,32,0.3,0.001,60,8,val_loss,10,42,27,39,1599.665096537995,30,66,39,688.1890974526274,13,105,39,934.2192956874799,17,1074.0244965593674,385.0162289828736,20.0
LSTM,parsimonious,40,12,32,0.3,0.001,60,16,val_loss,10,42,27,39,1944.6588266041726,60,66,39,736.0935872468613,60,105,39,955.4020104890981,18,1212.0514747800441,525.7117049526422,46.0
LSTM,parsimonious,41,12,64,0.1,0.0005,60,8,val_loss,10,42,27,39,2137.305222786491,27,66,39,668.9625589764539,27,105,39,940.1361719185537,15,1248.801317893833,637.9462745645301,23.0
LSTM,parsimonious,42,12,64,0.1,0.0005,60,16,val_loss,10,42,27,39,1500.224104612265,34,66,39,852.803589904405,15,105,39,949.0531543599561,17,1100.6936162922086,285.23026135319486,22.0
LSTM,parsimonious,43,12,64,0.1,0.001,60,8,val_loss,10,42,27,39,1496.1724790476003,45,66,39,613.5276865451735,52,105,39,839.5299527259482,34,983.0767061062406,374.36142094454647,43.666666666666664
LSTM,parsimonious,44,12,64,0.1,0.001,60,16,val_loss,10,42,27,39,1481.0380104176909,28,66,39,731.379381888556,43,105,39,931.5402441176132,13,1047.9858788079534,316.9297547942056,28.0
LSTM,parsimonious,45,12,64,0.3,0.0005,60,8,val_loss,10,42,27,39,2081.3121719932556,29,66,39,715.0579824540716,31,105,39,974.1611088007277,18,1256.843754416018,592.5058290612777,26.0
LSTM,parsimonious,46,12,64,0.3,0.0005,60,16,val_loss,10,42,27,39,1690.3041072468327,57,66,39,657.2782994022275,15,105,39,1009.2413599559034,13,1118.941255534988,428.8054183704588,28.333333333333332
LSTM,parsimonious,47,12,64,0.3,0.001,60,8,val_loss,10,42,27,39,1742.569988860424,38,66,39,651.5266560211351,47,105,39,907.368654320466,20,1100.4884330673415,465.87933004208827,35.0
LSTM,parsimonious,48,12,64,0.3,0.001,60,16,val_loss,10,42,27,39,1324.5894575726163,59,66,39,700.2953039081226,37,105,39,973.5738688126629,17,999.4862100978006,255.52479938103167,37.666666666666664
