model,varset,candidate_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,random_state,fold1_rmse,fold2_rmse,fold3_rmse,mean_validation_rmse,std_validation_rmse
XGBoost,parsimonious,53,400,3,0.03,1.0,0.8,1,42,147.28478412546664,934.600538086494,988.6479375386922,690.1777532502175,384.5168936823645
XGBoost,parsimonious,54,400,3,0.03,1.0,0.8,3,42,211.10265092023653,936.7741253354346,946.5991570578095,698.1586444378269,344.4239523495636
XGBoost,parsimonious,55,400,3,0.03,1.0,1.0,1,42,135.48047804297715,952.8302036401143,1019.933247300003,702.7479763276982,402.0530774037675
XGBoost,parsimonious,56,400,3,0.03,1.0,1.0,3,42,209.67135101407777,930.8148668718018,988.6788793186745,709.7216990681846,354.3772226746409
XGBoost,parsimonious,57,400,3,0.1,0.8,0.8,1,42,142.74301844169835,927.5967599530203,928.0339367615114,666.1245717187434,370.0866885059136
XGBoost,parsimonious,58,400,3,0.1,0.8,0.8,3,42,223.72236410879015,898.9664792649206,929.1423240993046,683.9437224910051,325.6587369586406
XGBoost,parsimonious,59,400,3,0.1,0.8,1.0,1,42,141.17714572436347,939.7714591226737,990.2163332321566,690.3883126930646,388.896602173656
XGBoost,parsimonious,60,400,3,0.1,0.8,1.0,3,42,223.46938954989224,902.8320972996098,939.5121769711959,688.6045546068993,329.2409435764183
XGBoost,parsimonious,61,400,3,0.1,1.0,0.8,1,42,141.4236571164244,970.6790049677487,1012.0212519420903,708.0413046754211,401.0145169776197
XGBoost,parsimonious,62,400,3,0.1,1.0,0.8,3,42,209.62349505274406,937.1120691942609,994.7258725677876,713.8204789382643,357.2961297525555
XGBoost,parsimonious,63,400,3,0.1,1.0,1.0,1,42,133.4698761647503,959.4227494765219,1026.4952696462885,706.4626317625202,406.0912904065827
XGBoost,parsimonious,64,400,3,0.1,1.0,1.0,3,42,210.58070760944156,935.6610372201171,1055.4525436552528,733.8980961616038,373.2589075733634
XGBoost,parsimonious,65,400,4,0.03,0.8,0.8,1,42,146.69881284232898,945.4139567657467,943.8497103434007,678.6541599838255,376.14977533870734
XGBoost,parsimonious,66,400,4,0.03,0.8,0.8,3,42,214.72528649290024,919.6470096629666,923.7259718896299,686.0327560151655,333.2688680368274
XGBoost,parsimonious,67,400,4,0.03,0.8,1.0,1,42,136.68142877812198,954.2143846513486,926.8697298280231,672.5885144191645,379.10793174420974
XGBoost,parsimonious,68,400,4,0.03,0.8,1.0,3,42,213.79893652531817,916.9341427684716,930.8987710198611,687.2106167712169,334.8011518851986
XGBoost,parsimonious,69,400,4,0.03,1.0,0.8,1,42,149.62912626669694,983.9715705877035,1017.4103990096489,717.0036986213498,401.42659588649326
XGBoost,parsimonious,70,400,4,0.03,1.0,0.8,3,42,206.38986455605166,929.3631437273172,1021.7285571293719,719.1605218042469,364.53911779057194
XGBoost,parsimonious,71,400,4,0.03,1.0,1.0,1,42,137.6824511241509,996.417546348826,1051.9435647731023,728.6811874153597,418.5135715870854
XGBoost,parsimonious,72,400,4,0.03,1.0,1.0,3,42,204.9861752210917,920.3286072986027,1110.1019782858632,745.1389202685192,389.72402549382775
