date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,remittances_usd_m,usd_lkr,target_diff1,target_log,target_log_diff1,target_pct_change,split
2018-12-01,6919.216639148527,1033.3831084516703,1734.5814769958135,584.450098589887,180.0794,-86.10583936427429,8.842057839768652,-0.012367653419344649,-1.2291488311692134,train
2019-01-01,6152.196208752774,1038.1468507890256,1655.458756514842,545.3254992794382,181.6025,-767.0204303957535,8.724564404167266,-0.1174934356013857,-11.085365156165173,train
2019-02-01,6035.155009941658,981.119883809676,1432.39631128465,500.492162671479,178.3944,-117.04119881111546,8.705356818361949,-0.019207585805316896,-1.9024295526303248,train
2019-03-01,7629.241941007436,1136.862305459054,1729.043562407311,571.431009617002,178.0952,1594.0869310657781,8.939743766919058,0.23438694855710906,26.413355223517087,train
2019-04-01,7213.972057497156,798.1056022403444,1595.57292195424,553.6920420435212,174.6432,-415.2698835102801,8.883774988084365,-0.055968778834692756,-5.443134281509543,train
2019-05-01,6722.612629789063,961.0197730366248,1783.6946109147184,562.1201492822893,176.15,-491.3594277080929,8.813232142155004,-0.07054284592936177,-6.811218892890569,train
2019-06-01,8864.984523119312,1083.954426800322,1399.8439347672734,536.6275845682627,176.4635,2142.371893330249,9.08986447266576,0.27663233051075586,31.86814429611826,train
2019-07-01,8347.063830786541,998.5344346682732,1715.9194214006632,625.6805908103535,175.8832,-517.9206923327711,9.02966511897455,-0.06019935369120866,-5.842319193926027,train
2019-08-01,8523.712277937197,1032.5052702891876,1573.6060230957069,518.2479690698589,177.9386,176.64844715065556,9.050607238300763,0.020942119326212705,2.11629443276955,train
2019-09-01,7635.331963594275,953.7545302038528,1710.5377216240204,516.2660983194008,180.7975,-888.3803143429213,8.94054169589474,-0.11006554240602284,-10.422457790397354,train
2019-10-01,7780.083013603978,977.2802613026088,1815.72509139126,607.0442233570847,181.3155,144.75105000970234,8.959322287244557,0.01878059134981669,1.895805587758126,train
2019-11-01,7520.452982431865,978.7856206740918,1741.0910335719382,515.26123914573,180.3111,-259.63003117211247,8.925381652155222,-0.0339406350893352,-3.3371113228243487,train
2019-12-01,7642.393000751939,999.9429518693604,1784.1899823205383,665.0234761837822,181.1976,121.94001832007416,8.941466053111133,0.01608440095591135,1.621445125778087,train
2020-01-01,7512.733529432759,1004.8850926174435,1735.327088426726,580.9276408043164,181.3219,-129.65947131918074,8.924354663808941,-0.017111389302192137,-1.6965820955088695,validation
2020-02-01,7941.515070351391,988.5170201257566,1562.32383699017,527.32246625236,181.5016,428.78154091863234,8.97985935094405,0.05550468713510881,5.707397170933692,validation
2020-03-01,7533.736569408685,656.2184495098973,1205.0492034876245,492.0915681614186,184.4095,-407.77850094270616,8.927146422072411,-0.05271292887163881,-5.134769591574462,validation
2020-04-01,7209.520101152639,282.3103443550165,1122.60696271443,375.0192363972781,191.3536,-324.216468256046,8.883157667890764,-0.043988754181647494,-4.303528073606289,validation
2020-05-01,6499.857251537734,586.6872740660409,993.8228128748568,431.75753243500594,187.5425,-709.6628496149051,8.779535494340688,-0.1036221735500753,-9.8434131489757,validation
2020-06-01,6694.648013475818,894.1352989903875,1055.4512879435238,572.4980030213977,185.8705,194.79076193808396,8.809063682206338,0.029528187865649258,2.9968467675501653,validation
2020-07-01,7095.831822594811,1085.021074654558,1293.6943139058217,702.08852611799,185.7377,401.18380911899294,8.867262823397793,0.058199141191455084,5.992604963120396,validation
2020-08-01,7430.083006707859,947.2286171577184,1289.0880100856452,664.4567732301396,184.8529,334.2511841130481,8.913292309480875,0.046029486083082105,4.710528553519455,validation
2020-09-01,6666.320938200717,1000.0421286057492,1524.8849953792833,702.6503317634936,184.9519,-763.7620685071415,8.804823403253387,-0.10846890622748795,-10.279320807285997,validation
2020-10-01,5855.74394110227,854.2753709427261,1362.7803874142037,630.7136177195367,184.3767,-810.5769970984475,8.675178328780476,-0.1296450744729114,-12.159285528146613,validation
2020-11-01,5555.275602812615,783.6559445593846,1383.7005110189446,611.6708594744056,184.8094,-300.46833828965464,8.62250331431064,-0.0526750144698358,-5.131172764926184,validation
2020-12-01,5664.265569350756,964.4508442734063,1526.64703331917,812.7378063911985,186.6329,108.98996653814083,8.641932521518514,0.019429207207874555,1.9619182616783082,validation
2021-01-01,4841.863004371764,936.6622814854384,1591.5901970507057,675.3390054353866,187.0,-822.4025649789919,8.485054843907278,-0.15687767761123617,-14.519138534552445,validation
2021-02-01,4582.993424023525,951.724574048446,1523.603972592037,579.6821699858931,194.01,-258.86958034823874,8.430107649645237,-0.05494719426204142,-5.346487088017627,validation
2021-03-01,4055.2,1093.7738520883445,1925.9318375289247,612.039426055064,199.04,-527.7934240235254,8.30775528715814,-0.12235236248709747,-11.516346963469182,validation
2021-04-01,4470.738472224253,818.1842602092861,1706.9720121710045,518.7544137326089,199.54,415.5384722242534,8.405308880276705,0.09755359311856537,10.247052481363529,validation
2021-05-01,4032.831217910092,891.7032201204976,1607.4340540931253,460.114150675105,199.5,-437.90725431416104,8.302223943739772,-0.1030849365369324,-9.794964680550777,validation
2021-06-01,4060.0459080962846,1007.0147013013268,1659.2043487791664,478.4486578808749,201.14,27.214690186192456,8.308949559944727,0.006725616204954932,0.674828395131688,validation
2021-07-01,2805.884166609781,1103.9334293875042,1710.0957416175922,453.2632668392378,199.9,-1254.1617414865036,7.939473979200852,-0.36947558074387477,-30.89033399808446,validation
2021-08-01,3543.508985941734,1101.034874644722,1686.6675039530146,446.6176342664486,210.0,737.624819331953,8.172872754141475,0.2333987749406221,26.288498581293563,validation
2021-09-01,2704.1872990039246,1034.4575246293707,1526.032657370234,353.22780133179384,199.99,-839.3216869378093,7.902556702147089,-0.2703160519943859,-23.686173515226706,validation
2021-10-01,2269.211946488995,1192.3364394091789,1694.2769255028936,317.38781426512065,201.87,-434.97535251492945,7.727187890064411,-0.1753688120826773,-16.08525240374994,validation
2021-11-01,1588.37233054694,1211.4690722829191,1764.628143730678,271.43416537213164,202.05,-680.8396159420552,7.370465079404377,-0.35672281066003464,-30.003350590299604,validation
2021-12-01,3139.2264604363068,1156.2853341767309,2240.979740627027,325.155964755842,200.43,1550.8541298893667,8.051731698373588,0.6812666189692118,97.63794672470438,validation
2022-01-01,2361.645210710561,1102.6034670306735,1959.383635296777,259.2224004013944,201.19,-777.5812497257457,7.767113778324601,-0.2846179200489871,-24.769836121274068,validation
2022-02-01,2311.250466948733,1093.3378369012546,1872.9492863064163,204.92486303716285,201.06,-50.39474376182807,7.745543984734297,-0.021569793590304087,-2.1338829191310027,validation
2022-03-01,1917.0,1058.2320434309793,1818.9123121575751,318.4002148284584,299.0,-394.250466948733,7.558516743045645,-0.1870272416886527,-17.05788587548517,validation
2022-04-01,1812.0,970.9060449924372,1698.9619799051154,248.94295927029472,341.85,-105.0,7.502186486602924,-0.05633025644272038,-5.477308294209704,validation
2022-05-01,1887.0,1048.30075887742,1451.4641465787,304.13890450622404,360.76,75.0,7.54274354536855,0.040557058765625875,4.139072847682113,validation
2022-06-01,1854.0,1048.30075887742,1451.4641465787,274.30161465382605,359.88,-33.0,7.5251007461258,-0.017642799242749696,-1.748807631160576,validation
2022-07-01,1817.0,1048.30075887742,1451.4641465787,279.473219110128,360.8,-37.0,7.504942068396171,-0.020158677729629204,-1.9956850053937436,validation
2022-08-01,1717.0,1225.3706146436166,1485.870236308291,325.35725286826,361.15,-100.0,7.448333860897476,-0.05660820749869533,-5.503577325261421,validation
2022-09-01,1779.0,1079.8298985077097,1284.363138823137,359.3294925274374,362.9,62.0,7.483806687665835,0.035472826768359056,3.6109493302271423,validation
2022-10-01,1705.0,1079.8298985077097,1335.6650258777895,355.3548728418218,363.3,-74.0,7.4413203897176174,-0.042486297948217455,-4.159640247329966,validation
2022-11-01,1806.0,995.3306766048756,1444.5641504195742,384.4058173866719,363.19,101.0,7.498869733976931,0.05754934425931335,5.923753665689158,validation
2022-12-01,1898.0,1067.5928431750358,1425.5633543297174,475.61069513836514,363.11,92.0,7.5485559791698735,0.049686245192942735,5.094130675526021,validation
2023-01-01,2121.0,978.1692142738522,1423.3694642654602,437.4887211766695,362.14,223.0,7.659642954564682,0.11108697539480872,11.749209694415175,test
2023-02-01,2219.0,981.9602879262028,1021.043613690764,407.4113413923999,361.63,98.0,7.704811922932594,0.04516896836791151,4.62046204620461,test
2023-03-01,2694.0,1037.454601851765,1449.5424020103417,568.3133040502482,321.89,475.0,7.898782356970309,0.1939704340377153,21.406038756196487,test
2023-04-01,2761.0,848.6106835552755,1431.1968085591518,453.9889329798782,321.65,67.0,7.923348211930154,0.02456585495984509,2.487008166295479,test
2023-05-01,3491.0,1019.4882810840828,1466.26466039326,479.7068400575331,295.52,730.0,8.157943507105037,0.23459529517488242,26.439695762404924,test
2023-06-01,3724.0,1005.3431602556694,1369.0863464942988,475.7080813695716,308.83,233.0,8.222553638396958,0.06461013129192139,6.674305356631338,test
