date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,usd_lcy,m2_lcy_m,country,country_code,trade_balance_usd_m,m2_usd_m,reserve_change_usd_m,reserve_change_pct
2012-02-01,16762.86477643061,2719.0,5180.0,6.0209,1050472.07503966,egypt,EGY,-2461.0,174470.93873667726,-611.796428514248,-3.5211991836717305
2012-03-01,15860.8480065201,2666.0,6435.0,6.0264,1055341.59173176,egypt,EGY,-3769.0,175119.7384394929,-902.0167699105114,-5.381041856155699
2012-04-01,15934.67962503528,2600.0,6153.0,6.0336,1059118.09666159,egypt,EGY,-3553.0,175536.67738358362,73.8316185151798,0.4654960345426007
2012-05-01,16476.93331645168,2697.0,6506.0,6.0307,1067931.0061314101,egypt,EGY,-3809.0,177082.4292588605,542.2536914163993,3.4029783100530953
2012-06-01,16038.3623105767,2540.0,6248.0,6.0455,1094758.90579572,egypt,EGY,-3708.0,181086.577751339,-438.57100587497916,-2.6617271397043285
2012-07-01,14982.255640691179,2340.0,5620.0,6.0563,1102227.63989276,egypt,EGY,-3280.0,181996.86935798422,-1056.1066698855211,-6.584878489676327
2012-08-01,15754.85538668907,2187.0,5738.0,6.0831,1115623.96159219,egypt,EGY,-3551.0,183397.2746777449,772.5997459978917,5.15676520629873
2012-09-01,15980.341677537559,2830.0,5931.0,6.0801,1124690.61525248,egypt,EGY,-3101.0,184978.96667036397,225.48629084848835,1.4312177758165623
2012-10-01,16285.44869866432,2421.0,5773.0,6.0947,1145014.47686128,egypt,EGY,-3352.0,187870.52305466717,305.10702112676154,1.909264690852197
2012-11-01,15850.72130851237,2519.0,6892.0,6.096,1147860.2892576298,egypt,EGY,-4373.0,188297.29154488677,-434.7273901519511,-2.669422244335251
2012-12-01,15672.46797077275,2742.0,6369.0,6.3057,1167524.79286748,egypt,EGY,-3627.0,185153.87552016115,-178.25333773961938,-1.1245755588667805
2013-01-01,14280.203763257428,2407.0,5731.0,6.7053,1198460.35012494,egypt,EGY,-3324.0,178733.29308531163,-1392.2642075153217,-8.883503288133854
2013-02-01,13989.10899554163,2645.0,5710.0,6.7279,1211684.41621232,egypt,EGY,-3065.0,180098.4580942523,-291.0947677157983,-2.0384496786017614
2013-03-01,13928.91579381724,2806.0,6067.0,6.7947,1237306.73096824,egypt,EGY,-3261.0,182098.80214994628,-60.19320172439075,-0.43028617293334737
2013-04-01,14616.48955328346,2716.0,5882.0,6.9356,1253232.5837399398,egypt,EGY,-3166.0,180695.62600783492,687.5737594662205,4.936304947520909
2013-05-01,16053.0852226681,2467.0,5954.0,6.9774,1268887.34355245,egypt,EGY,-3487.0,181856.75804059533,1436.5956693846401,9.828595738721146
2013-06-01,14477.06470002647,2528.0,6073.0,7.0119,1296063.32785356,egypt,EGY,-3545.0,184837.67992321055,-1576.0205226416292,-9.8175553221145
2013-07-01,18719.599177222142,2134.0,5720.0,6.9982,1316434.0347916798,egypt,EGY,-3586.0,188110.3762098368,4242.534477195672,29.305211830599287
2013-08-01,18946.52104382556,2013.0,4625.0,7.015,1329873.8965768602,egypt,EGY,-2612.0,189575.75147211124,226.92186660341758,1.212215413669404
2013-09-01,18575.72982010186,2416.0,4782.0,6.8838,1335351.7440336898,egypt,EGY,-2366.0,193984.68055923906,-370.79122372369966,-1.9570412049051966
2013-10-01,18438.48460734137,2183.0,4972.0,6.8857,1348870.88990723,egypt,EGY,-2789.0,195894.51906229285,-137.245212760492,-0.738841564178927
2013-11-01,17340.57249071046,2271.0,5648.0,6.8833,1360521.7893270801,egypt,EGY,-3377.0,197655.45440807173,-1097.9121166309087,-5.954459599102679
2013-12-01,16536.23682640744,2432.0,5017.0,6.943,1388078.59250845,egypt,EGY,-2585.0,199924.90170077057,-804.3356643030202,-4.638460839363356
2014-01-01,16650.61326271661,2217.0,5569.0,6.9555,1398648.62039055,egypt,EGY,-3352.0,201085.27358069873,114.37643630917228,0.6916714940035096
2014-02-01,16857.5665328359,2303.0,5023.0,6.9553,1418020.87567106,egypt,EGY,-2720.0,203876.306654071,206.95327011928748,1.2429168034470583
2014-03-01,16972.03134740242,2589.0,5838.0,6.9615,1438819.4406558701,egypt,EGY,-3249.0,206682.38751071898,114.46481456651964,0.6790114951856108
2014-04-01,17002.0472549009,2364.0,4518.0,7.0011,1459970.09984772,egypt,EGY,-2154.0,208534.38743164932,30.015907498480374,0.17685512643761392
2014-05-01,16723.89781446564,2597.0,5189.0,7.138,1484825.3156059799,egypt,EGY,-2592.0,208016.9957419417,-278.14944043525975,-1.63597616372394
2014-06-01,16289.179314644542,2576.0,4726.0,7.1459,1517008.8735588,egypt,EGY,-2150.0,212290.80641469933,-434.7184998210978,-2.599385051522385
2014-07-01,16253.92294331217,1825.0,5165.0,7.1473,1545442.41943488,egypt,EGY,-3340.0,216227.4452499377,-35.25637133237069,-0.21644043970142635
2014-08-01,16383.957888624649,2105.0,7161.0,7.1452,1557793.96640093,egypt,EGY,-5056.0,218019.64485261854,130.03494531247816,0.800021913269755
2014-09-01,16407.99678920768,2038.0,6871.0,7.147,1544174.65920407,egypt,EGY,-4833.0,216059.13798853644,24.038900583029317,0.1467221824326126
2014-10-01,16286.94795158477,1696.0,5418.0,7.1472,1560747.4236313899,egypt,EGY,-3722.0,218371.86921191376,-121.04883762290774,-0.7377429382636636
2014-11-01,15386.76950690469,2261.0,5966.0,7.1443,1573372.5308563102,egypt,EGY,-3705.0,220227.66833088058,-900.1784446800812,-5.526992824904875
2014-12-01,14926.99805173972,2282.0,5342.0,7.1431,1606928.41039147,egypt,EGY,-3060.0,224962.3287356288,-459.77145516496967,-2.9880960714895433
