date,gross_reserves_usd_m,exports_usd_m,imports_usd_m,remittances_usd_m,usd_lkr,trade_balance_usd_m,m2_usd_m,tourism_usd_m,cse_net_usd_m,target_diff1,target_log,target_log_diff1,target_pct_change,split
2018-02-01,7922.369345490189,915.650345321389,1977.993103576892,571.5002263413448,154.7737,-1062.3427582555032,37646.55235921413,442.26441072000006,17.62064212157992,252.38934549018904,8.97744559985322,0.03237631305724875,3.2906128241558585,train
2018-03-01,7319.749709742925,1107.6632607514034,1978.5218342628232,677.6961157626178,155.6386,-870.8585735114198,38521.86244348317,438.06734928,-35.68808412847284,-602.6196357472636,8.898331413712704,-0.0791141861405169,-7.606558208376201,train
2018-04-01,9935.768813397091,795.0546716824356,1793.6278037230777,541.1780994671594,156.1857,-998.573132040642,38695.67796615375,338.67245016000004,28.440075615858028,2616.0191036541664,9.20389653632981,0.30556512261710544,35.73918791474693,train
2018-05-01,8808.916585622243,923.7576297403432,1856.95795512956,580.4019949922705,157.7527,-933.2003253892163,38336.74320054148,243.01286064,5.497714498099782,-1126.8522277748489,9.083519735842831,-0.1203768004869783,-11.3413692381352,train
2018-06-01,9267.017122111823,1024.3682844569344,1819.4798365092515,523.6405184273614,158.9619,-795.1115520523169,38505.126971979196,275.6020291200001,0.3440872527689578,458.1005364895809,9.134216829228432,0.05069709338560102,5.200418599005507,train
2018-07-01,8429.671933126869,1073.1643006891263,1754.4651588528998,619.2971944301521,159.3548,-681.3008581637735,38660.68799081452,408.87374616000005,-2.7141723529615227,-837.3451889849548,9.039513133646325,-0.09470369558210656,-9.035757439003579,train
2018-08-01,8584.53782202296,1037.3606140149984,1887.11736795169,534.1970182243219,160.3217,-849.7567539366917,38944.93865770367,376.0818573600001,-6.097873012514846,154.86588889609084,9.057717936357985,0.018204802711659696,1.8371520282717047,train
2018-09-01,7164.0793420685,1055.2146080861978,1768.4101377475615,499.5686117071165,165.2237,-713.1955296613637,38036.0129594824,279.84226248000004,-6.924404831697,-1420.458479954459,8.876834838226547,-0.18088309813143866,-16.54670885496461,train
2018-10-01,7903.305318148267,979.096089464566,1882.473484503176,599.092454277415,171.3614,-903.37739503861,36915.95495707808,287.41799592,-36.47408671754303,739.225976079767,8.975036345654768,0.09820150742822165,10.318506269729966,train
2018-11-01,7005.322478512801,979.5512009150912,1764.6054092036552,555.0423235268939,176.7275,-785.054208288564,35961.11119783548,367.11523728,-30.090089875234963,-897.982839635466,8.854425493187996,-0.12061085246677195,-11.362117538005755,train
2018-12-01,6919.216639148527,1033.3831084516703,1734.5814769958135,584.450098589887,180.0794,-701.1983685441432,35691.642602901054,475.20833976000006,-26.151820086904127,-86.10583936427429,8.842057839768652,-0.012367653419344649,-1.2291488311692134,train
2019-01-01,6152.196208752774,1038.1468507890256,1655.458756514842,545.3254992794382,181.6025,-617.3119057258164,35347.175140248735,460.339713288,-14.073453339407244,-767.0204303957535,8.724564404167266,-0.1174934356013857,-11.085365156165173,train
2019-02-01,6035.155009941658,981.119883809676,1432.39631128465,500.492162671479,178.3944,-451.276427474974,36270.920214239355,475.029782136,-14.736943459883388,-117.04119881111546,8.705356818361949,-0.019207585805316896,-1.9024295526303248,train
2019-03-01,7629.241941007436,1136.862305459054,1729.043562407311,571.431009617002,178.0952,-592.181256948257,36778.31926162575,460.507459776,-4.9763477037895285,1594.0869310657781,8.939743766919058,0.23438694855710906,26.413355223517087,train
2019-04-01,7213.972057497156,798.1056022403444,1595.57292195424,553.6920420435212,174.6432,-797.4673197138956,37708.41875583704,314.7131442,10.007029799571692,-415.2698835102801,8.883774988084365,-0.055968778834692756,-5.443134281509543,train
2019-05-01,6722.612629789063,961.0197730366248,1783.6946109147184,562.1201492822893,176.15,-822.6748378780936,37589.43963742555,71.248907184,3.7402092397539306,-491.3594277080929,8.813232142155004,-0.07054284592936177,-6.811218892890569,train
2019-06-01,8864.984523119312,1083.954426800322,1399.8439347672734,536.6275845682627,176.4635,-315.88950796695144,37748.492169959165,118.877601024,9.9162063191689,2142.371893330249,9.08986447266576,0.27663233051075586,31.86814429611826,train
2019-07-01,8347.063830786541,998.5344346682732,1715.9194214006632,625.6805908103535,175.8832,-717.38498673239,38078.926611786235,218.072319192,43.8725069556948,-517.9206923327711,9.02966511897455,-0.06019935369120866,-5.842319193926027,train
2019-08-01,8523.712277937197,1032.5052702891876,1573.6060230957069,518.2479690698589,177.9386,-541.1007528065193,37843.07065607883,270.631628904,-11.97406279243592,176.64844715065556,9.050607238300763,0.020942119326212705,2.11629443276955,train
2019-09-01,7635.331963594275,953.7545302038528,1710.5377216240204,516.2660983194008,180.7975,-756.7831914201676,37396.88027670205,204.6412914,-6.897463192894378,-888.3803143429213,8.94054169589474,-0.11006554240602284,-10.422457790397354,train
2019-10-01,7780.083013603978,977.2802613026088,1815.72509139126,607.0442233570847,181.3155,-838.4448300886509,37193.315687722345,223.805856456,-9.582961989095864,144.75105000970234,8.959322287244557,0.01878059134981669,1.895805587758126,train
2019-11-01,7520.452982431865,978.7856206740918,1741.0910335719382,515.26123914573,180.3111,-762.3054128978464,37659.32001704803,333.578027328,-35.58933272618159,-259.63003117211247,8.925381652155222,-0.0339406350893352,-3.3371113228243487,train
2019-12-01,7642.393000751939,999.9429518693604,1784.1899823205383,665.0234761837822,181.1976,-784.2470304511779,38150.118507687686,455.484489096,-4.582105722494454,121.94001832007416,8.941466053111133,0.01608440095591135,1.621445125778087,train
2020-01-01,7512.733529432759,1004.8850926174435,1735.327088426726,580.9276408043164,181.3219,-730.4419958092825,38611.25320008333,307.03928157,-15.78161491305238,-129.65947131918074,8.924354663808941,-0.017111389302192137,-1.6965820955088695,validation
2020-02-01,7941.515070351391,988.5170201257566,1562.32383699017,527.32246625236,181.5016,-573.8068168644135,39016.79484063149,278.911196235,-5.950855651903972,428.78154091863234,8.97985935094405,0.05550468713510881,5.707397170933692,validation
