date,exports_usd_m,imports_usd_m,remittances_usd_m,tourism_usd_m,usd_lkr,scenario
2026-02-01,1194.147785611592,1797.8639428932213,651.7061510227963,362.060824032,296.7525960057299,Oil Price Shock
2026-03-01,1194.14818582702,1819.4602019809938,651.7087057455213,362.060824032,296.75259703880903,Oil Price Shock
2025-04-01,1178.1420673169243,1556.3203008879102,635.0009151152337,362.060824032,296.62319860627235,IMF Tranche Delay
2025-05-01,1199.5367609808293,1586.9634069155227,658.4173522508096,362.060824032,298.8689056401402,IMF Tranche Delay
2025-06-01,1192.333903066037,1562.1515496209477,649.0135581334953,362.060824032,301.0554370236975,IMF Tranche Delay
2025-07-01,1194.7588577279594,1563.1660106404674,652.7900226438236,362.060824032,303.2228094697584,IMF Tranche Delay
2025-08-01,1193.9424588510217,1552.1529688129738,651.2734343370347,362.060824032,305.3839792719288,IMF Tranche Delay
2025-09-01,1194.2173122892038,1546.741103318176,651.882480201493,362.060824032,307.54314109285707,IMF Tranche Delay
2025-10-01,1194.1247785846451,1538.720840508945,651.6378938075762,362.060824032,309.7016529036113,IMF Tranche Delay
2025-11-01,1194.1559315021273,1531.9152493068152,651.7361171230607,362.060824032,311.859954308098,IMF Tranche Delay
2025-12-01,1194.1454433856916,1524.544025332241,651.6966716757885,362.060824032,314.0181876081305,IMF Tranche Delay
2026-01-01,1194.148974373967,1517.4361922226346,651.7125125512755,362.060824032,316.1763988651485,IMF Tranche Delay
2026-02-01,1194.147785611592,1510.205712030306,651.7061510227963,362.060824032,318.33460298796484,IMF Tranche Delay
2026-03-01,1194.14818582702,1503.032340766908,651.7087057455213,362.060824032,320.4928048019138,IMF Tranche Delay
2025-04-01,1178.1420673169243,1556.3203008879102,635.0009151152337,362.060824032,296.62319860627235,Combined Adverse
2025-05-01,1188.631881335549,1608.70263166779,649.4389338110258,355.47789995869095,300.7570665963505,Combined Adverse
2025-06-01,1170.6551048284728,1605.1465463995062,631.3131883662181,348.8949758853818,304.83211813331377,Combined Adverse
2025-07-01,1162.1745252444696,1627.9977806670306,626.0849762629399,342.31205181207275,308.8880043086061,Combined Adverse
2025-08-01,1150.5263694382572,1638.3836893025834,615.7494288277419,335.7291277387637,312.93764660374325,Combined Adverse
2025-09-01,1139.9347071851491,1654.6532733171184,607.435947460482,329.1462036654546,316.9852550737781,Combined Adverse
2025-10-01,1128.9906997527553,1668.1459579349314,598.3220661324109,322.5632795921455,321.0322011805727,Combined Adverse
2025-11-01,1118.1641904065373,1682.9491471257973,589.5249423067685,315.9803555188364,325.0789316100848,Combined Adverse
2025-12-01,1107.2985020485503,1697.1339149924947,580.602489311157,309.39743144552733,329.1255918229547,Combined Adverse
2026-01-01,1096.4458764706424,1711.6104917013604,571.729613283619,302.8145073722182,333.17222917957196,Combined Adverse
2026-02-01,1085.5888960105383,1725.9493851774928,562.8371304287787,296.23158329890913,337.2188590974203,Combined Adverse
2026-03-01,1074.733367244318,1740.3532366774725,553.9523998836931,289.64865922560006,341.2654865946304,Combined Adverse
2025-04-01,1178.1420673169243,1556.3203008879102,635.0009151152337,362.060824032,296.62319860627235,Combined Upside
2025-05-01,1210.4416406261096,1586.9634069155227,664.4029645439987,368.6437481053091,295.3623210071783,Combined Upside
2025-06-01,1214.0127013036015,1562.1515496209477,660.8138046450134,375.22667217861823,294.04160067726724,Combined Upside
2025-07-01,1227.3431902114492,1563.1660106404674,670.5933868977461,381.80959625192725,292.7017333404696,Combined Upside
2025-08-01,1237.3585482637861,1552.1529688129738,674.9561046765632,388.3925203252364,291.3557399414162,Combined Upside
2025-09-01,1248.4999173932586,1546.741103318176,681.5135020288335,394.97544439854545,290.0077865568608,Combined Upside
2025-10-01,1259.258857416535,1538.720840508945,687.1817789243532,401.5583684718546,288.65920610354016,Combined Upside
2025-11-01,1270.1476725977172,1531.9152493068152,693.2102336672555,408.14129254516365,287.3104250329795,Combined Upside
2025-12-01,1280.9923847228329,1524.544025332241,699.0927932522095,414.7242166184728,285.96157978059995,Combined Upside
2026-01-01,1291.8520722772914,1517.4361922226346,705.0344453963799,421.30714069178185,284.61271399550486,Combined Upside
2026-02-01,1302.7066752126461,1510.205712030306,710.9521647521416,427.89006476509087,283.2638416418331,Combined Upside
2026-03-01,1313.563004409722,1503.032340766908,716.8795763200735,434.4729888384,281.9149671868686,Combined Upside
